# generated_at_utc	2026-07-13T13:13:11Z
# expected_uniprot_release	2026_02
# scope	required=download; conditional=download only for offline UniParc source/history audit
scope	tier	dataset	release	remote_url	relative_path	bytes	md5	source_kind	notes
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/LICENSE	knowledgebase/complete/LICENSE	384	0fd67cdc8823f4bbb0b9fa0d66b8ad11	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/README	knowledgebase/complete/README	3918	c9ba41e8a3bb47c3cd69ad7f3d69810c	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/RELEASE.metalink	knowledgebase/complete/RELEASE.metalink	8121		release_manifest	expected_version=2026_02
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/reldate.txt	knowledgebase/complete/reldate.txt	151	d6a2579253b158ba0e1bf15b30e7e608	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot.xsd	knowledgebase/complete/uniprot.xsd	55045	2a315fabb1b626efd66b4b5189e1f404	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz	knowledgebase/complete/uniprot_sprot.dat.gz	699031150	868b301a6ec93955f4e4355d579d8683	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.fasta.gz	knowledgebase/complete/uniprot_sprot.fasta.gz	93706469	797dad11a33b1b58e3c140649a74d6b6	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot_varsplic.fasta.gz	knowledgebase/complete/uniprot_sprot_varsplic.fasta.gz	8581989	14ba446df6fc56bc344320b44c9a9789	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz	knowledgebase/complete/uniprot_trembl.dat.gz	118072276938	4952991c49196c0bca25690221a84445	static_file	official_metalink
required	P0	uniprotkb_complete	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.fasta.gz	knowledgebase/complete/uniprot_trembl.fasta.gz	40542998911	698db622e76d9d423777da64f322c204	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/7tmrlist.txt	knowledgebase/complete/docs/7tmrlist.txt	337307	3dda252eebc4babb7d92604c53664610	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/International_Protein_Nomenclature_Guidelines.pdf	knowledgebase/complete/docs/International_Protein_Nomenclature_Guidelines.pdf	505513	b9e0ef24362e9d599a75f361f2675cee	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/RELEASE.metalink	knowledgebase/complete/docs/RELEASE.metalink	71499		release_manifest	expected_version=2026_02
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/aatrnasy.txt	knowledgebase/complete/docs/aatrnasy.txt	321020	1f322b4c3c993daab971576330de4cb6	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/acindex.txt	knowledgebase/complete/docs/acindex.txt	18818250	a2cce5849fd69b2825544b3c6dc16ec2	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/allergen.txt	knowledgebase/complete/docs/allergen.txt	17290	5b8651479e99127ba0cd693a25a842f9	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/arath.txt	knowledgebase/complete/docs/arath.txt	2356289	7842de23d75760530eda9be4e31fc3ae	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/bloodgrp.txt	knowledgebase/complete/docs/bloodgrp.txt	9634	1d13131b92311721c5908f5b59c95bd7	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/calbican.txt	knowledgebase/complete/docs/calbican.txt	130910	d289f84293f29d09261a909cde2e4145	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/cdlist.txt	knowledgebase/complete/docs/cdlist.txt	70717	57259ac7bdec9468d2c28f13da8ecd9b	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/celegans.txt	knowledgebase/complete/docs/celegans.txt	514123	91b92678deeb08df995c83e2ca959494	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/dbxref.txt	knowledgebase/complete/docs/dbxref.txt	56264	edfd3ce53606bcbf9c0def572753f131	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/delac_sp.txt	knowledgebase/complete/docs/delac_sp.txt	14865	f7d6550fbad824d6333eab4dee631b95	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/delac_tr.txt.gz	knowledgebase/complete/docs/delac_tr.txt.gz	764537742	0a648bde3218e2c4a252598b24253455	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/dicty.txt	knowledgebase/complete/docs/dicty.txt	317907	2327b2303eb9f0a1a6f4f33759db25de	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/enzclass.txt	knowledgebase/complete/docs/enzclass.txt	20806	891a16627a5521b5c4a6ac5c84c61843	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/enzuser.txt	knowledgebase/complete/docs/enzuser.txt	11597	7d9a412873139d48157338f862361e96	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/extradom.txt	knowledgebase/complete/docs/extradom.txt	10379	9850d8516b69e1acf3a7181c2daa7bdb	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/fly.txt	knowledgebase/complete/docs/fly.txt	260100	bcab448b648d6df7ea20d1428e443608	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/glycosid.txt	knowledgebase/complete/docs/glycosid.txt	146712	cdc9169bdebc7575845307dd41fd9ea0	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/hoxlist.txt	knowledgebase/complete/docs/hoxlist.txt	13462	5ef5b9fff603aaf191bd402bba021530	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr01.txt	knowledgebase/complete/docs/humchr01.txt	377874	0cbc97ad6363f04a1e1341a5cb1ee4bc	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr02.txt	knowledgebase/complete/docs/humchr02.txt	237202	1c3fd5e0c5b4e4c50dda7ca7587e9964	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr03.txt	knowledgebase/complete/docs/humchr03.txt	196919	54475f60dce4e34da884917192fd2fa6	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr04.txt	knowledgebase/complete/docs/humchr04.txt	148301	443f8fb4463cfae41e25bda7528edfe2	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr05.txt	knowledgebase/complete/docs/humchr05.txt	159798	408473d486b0f3ecb53e0c8dfbee7766	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr06.txt	knowledgebase/complete/docs/humchr06.txt	195714	4c8430772341152c9ae315b8866bd0ad	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr07.txt	knowledgebase/complete/docs/humchr07.txt	176777	4cd236bd4eb12968fae590311400a134	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr08.txt	knowledgebase/complete/docs/humchr08.txt	131566	1ee59e4dedbc5b674bb6528ec3424058	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr09.txt	knowledgebase/complete/docs/humchr09.txt	144697	61119c527f961cddd496bee98a4d740a	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr10.txt	knowledgebase/complete/docs/humchr10.txt	139503	c07c9121e9a257d534aeea0ab06b1437	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr11.txt	knowledgebase/complete/docs/humchr11.txt	239365	f7dbb52e8bd3cbf183a3a6861665b21e	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr12.txt	knowledgebase/complete/docs/humchr12.txt	195741	bb9f42db71a19e9c136c61fd086c5dba	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr13.txt	knowledgebase/complete/docs/humchr13.txt	61186	dcf51334704db3c315517ee1f16eb967	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr14.txt	knowledgebase/complete/docs/humchr14.txt	129172	a8597cfb306e7dda50be5dd49ddc3208	static_file	official_metalink
required	P0	uniprotkb_docs	2026_02	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/docs/humchr15.txt	knowledgebase/complete/docs/humchr15.txt	107866	0d51ddc14025e5e8c64722d7a8480513	static_file	official_metalink
